urgencia,ubicacion,ubicacion_especifica,piso,es_fase_2,tipo,fecha_hora
low,listo,,1,False,comportamiento,2025-04-16 02:36:00
low,counter admisión,,1,False,plagio,2025-03-19 20:06:00
medium,lia cook,,11,False,plagio,2025-06-06 07:22:00
low,comedor,,1,True,plagio,2025-08-08 03:18:00
high,almacén,,-1,True,plagio,2025-10-23 09:43:00
medium,auditorio,,-1,False,comportamiento,2025-10-25 06:46:00
medium,almacén,,-1,True,plagio,2025-01-05 00:21:00
medium,auditorio,,-1,False,plagio,2025-03-23 01:15:00
low,almacén,,-1,True,comportamiento,2025-08-18 12:59:00
low,oficina,P506,5,False,comportamiento,2025-06-20 11:47:00
low,aula,M802,8,False,plagio,2025-09-16 07:46:00
low,aula magna,,-1,True,plagio,2025-10-25 01:58:00
medium,jardines,,6,False,plagio,2025-06-06 17:50:00
low,auditorio,,-1,False,plagio,2025-07-29 10:07:00
low,sala sum,,1,False,discriminación,2025-01-18 02:54:00
medium,jardines,,6,False,plagio,2025-03-27 03:14:00
medium,almacén,,-1,True,plagio,2025-07-08 09:09:00
medium,aula magna,,-1,True,plagio,2025-10-26 22:14:00
low,el café,,6,False,plagio,2025-07-29 22:53:00
low,el café,,6,False,plagio,2025-02-19 09:24:00
medium,counter admisión,,1,False,plagio,2025-04-04 14:02:00
medium,laboratorio,L203,2,False,agresión,2025-06-10 20:43:00
low,estacionamiento,,-1,False,plagio,2025-03-08 04:47:00
low,estacionamiento,,-1,False,comportamiento,2025-02-26 04:46:00
low,aula magna,,-1,True,plagio,2025-01-14 08:28:00
medium,lia cook,,11,False,discriminación,2025-10-07 00:09:00
medium,almacén,,-1,True,comportamiento,2025-07-10 22:49:00
low,aula magna,,-1,True,agresión,2025-07-27 09:23:00
low,laboratorio,L205,2,False,discriminación,2025-10-03 17:04:00
low,sala sum,,1,False,plagio,2025-01-26 16:03:00
low,el café,,6,False,plagio,2025-06-16 19:43:00
low,sala sum,,1,False,plagio,2025-09-10 15:45:00
medium,listo,,1,False,plagio,2025-10-20 10:47:00
low,dirección general,,10,False,plagio,2025-10-11 06:22:00
low,jardines,,6,False,plagio,2025-07-25 09:00:00
low,auditorio,,-1,False,plagio,2025-03-05 19:54:00
low,patio,,-1,True,discriminación,2025-01-22 09:18:00
high,estacionamiento,,-1,False,plagio,2025-03-30 04:39:00
low,dirección general,,10,False,plagio,2025-07-13 15:10:00
medium,jardines,,6,False,plagio,2025-09-27 12:34:00
low,counter alumnos,,1,False,plagio,2025-03-05 06:36:00
low,aula,A802,8,False,comportamiento,2025-06-20 07:27:00
medium,sala sum,,1,False,comportamiento,2025-06-15 21:43:00
medium,almacén,,-1,True,comportamiento,2025-09-10 21:14:00
medium,counter alumnos,,1,False,plagio,2025-08-10 03:46:00
medium,almacén,,-1,True,comportamiento,2025-01-15 00:44:00
low,el café,,6,False,plagio,2025-01-12 09:22:00
low,estacionamiento,,-1,False,comportamiento,2025-10-19 17:47:00
low,laboratorio,L414,4,False,plagio,2025-10-27 18:33:00
low,comedor,,1,True,plagio,2025-03-23 18:32:00
low,laboratorio,L403,4,False,plagio,2025-06-14 01:27:00
low,auditorio,,-1,False,plagio,2025-01-18 12:26:00
low,listo,,1,False,plagio,2025-01-17 23:25:00
high,oficina,P505,5,False,agresión,2025-06-28 00:41:00
medium,jardines,,6,False,plagio,2025-02-05 16:32:00
low,entrada,,1,False,comportamiento,2025-05-14 19:46:00
medium,entrada,,1,False,plagio,2025-09-17 03:13:00
low,listo,,1,False,plagio,2025-08-21 20:27:00
low,el café,,6,False,comportamiento,2025-08-06 13:50:00
low,lia cook,,11,False,plagio,2025-10-09 07:00:00
low,estacionamiento,,-1,False,discriminación,2025-06-16 22:59:00
low,estacionamiento,,-1,False,plagio,2025-05-10 12:09:00
medium,dirección general,,10,False,agresión,2025-07-10 22:40:00
medium,oficina,P304,3,False,plagio,2025-06-29 22:08:00
low,listo,,1,False,plagio,2025-08-22 16:30:00
low,counter admisión,,1,False,plagio,2025-03-07 18:12:00
medium,dirección general,,10,False,plagio,2025-03-18 21:32:00
high,listo,,1,False,comportamiento,2025-08-28 08:07:00
low,comedor,,1,True,discriminación,2025-07-21 13:20:00
low,aula,A704,7,False,plagio,2025-06-12 02:06:00
medium,estacionamiento,,-1,False,plagio,2025-06-15 07:24:00
low,listo,,1,False,plagio,2025-09-27 12:43:00
medium,el café,,6,False,plagio,2025-07-31 06:51:00
high,oficina,P605,6,False,comportamiento,2025-07-30 01:07:00
low,dirección general,,10,False,plagio,2025-01-01 16:59:00
high,jardines,,6,False,agresión,2025-07-31 00:12:00
low,dirección general,,10,False,plagio,2025-07-31 21:00:00
low,jardines,,6,False,plagio,2025-03-29 07:29:00
low,aula magna,,-1,True,plagio,2025-07-27 19:45:00
medium,sala sum,,1,False,plagio,2025-03-14 07:22:00
low,listo,,1,False,plagio,2025-01-20 09:31:00
low,patio,,-1,True,comportamiento,2025-04-18 07:14:00
medium,aula,A602,6,False,plagio,2025-02-01 01:05:00
medium,aula magna,,-1,True,plagio,2025-03-11 07:14:00
high,comedor,,1,True,plagio,2025-07-26 00:56:00
low,oficina,P608,6,False,plagio,2025-09-25 11:11:00
low,jardines,,6,False,comportamiento,2025-06-19 00:37:00
low,jardines,,6,False,plagio,2025-01-15 20:30:00
medium,patio,,-1,True,plagio,2025-02-21 21:15:00
low,almacén,,-1,True,plagio,2025-06-07 18:20:00
low,entrada,,1,False,comportamiento,2025-04-06 19:54:00
low,laboratorio,L105,1,True,comportamiento,2025-02-05 06:57:00
low,lia cook,,11,False,plagio,2025-02-08 04:40:00
high,el café,,6,False,agresión,2025-09-05 00:52:00
low,estacionamiento,,-1,False,plagio,2025-07-17 02:31:00
low,entrada,,1,False,agresión,2025-03-17 18:07:00
low,dirección general,,10,False,plagio,2025-05-18 00:55:00
medium,dirección general,,10,False,plagio,2025-05-02 15:10:00
low,counter admisión,,1,False,comportamiento,2025-04-11 12:01:00
low,aula,A702,7,False,plagio,2025-06-03 04:53:00
low,almacén,,-1,True,comportamiento,2025-04-10 23:57:00
low,estacionamiento,,-1,False,plagio,2025-10-20 15:19:00
low,listo,,1,False,plagio,2025-02-05 23:47:00
low,aula,A907,9,False,plagio,2025-10-02 18:14:00
low,patio,,-1,True,agresión,2025-04-20 17:51:00
low,comedor,,1,True,plagio,2025-06-04 08:07:00
low,patio,,-1,True,plagio,2025-05-23 08:46:00
low,auditorio,,-1,False,plagio,2025-10-01 02:06:00
low,aula magna,,-1,True,comportamiento,2025-08-19 02:00:00
medium,oficina,P606,6,False,agresión,2025-09-21 01:52:00
low,dirección general,,10,False,plagio,2025-10-08 05:23:00
medium,listo,,1,False,comportamiento,2025-06-02 09:12:00
low,counter admisión,,1,False,plagio,2025-01-27 04:20:00
low,aula magna,,-1,True,comportamiento,2025-03-19 12:54:00
low,jardines,,6,False,plagio,2025-06-02 23:59:00
low,oficina,P610,6,False,discriminación,2025-04-30 07:39:00
low,dirección general,,10,False,plagio,2025-07-16 13:32:00
medium,estacionamiento,,-1,False,plagio,2025-03-02 21:53:00
medium,counter admisión,,1,False,plagio,2025-10-07 01:51:00
low,aula magna,,-1,True,plagio,2025-10-22 20:56:00
low,listo,,1,False,comportamiento,2025-09-27 05:33:00
low,jardines,,6,False,agresión,2025-03-07 19:54:00
high,entrada fase 2,,1,True,plagio,2025-10-18 16:48:00
medium,entrada fase 2,,1,True,comportamiento,2025-07-16 01:22:00
medium,counter alumnos,,1,False,plagio,2025-09-01 19:52:00
medium,almacén,,-1,True,plagio,2025-02-20 06:23:00
low,oficina,P502,5,False,plagio,2025-07-14 19:13:00
low,almacén,,-1,True,plagio,2025-02-02 00:29:00
low,auditorio,,-1,False,plagio,2025-06-20 20:10:00
low,counter admisión,,1,False,plagio,2025-01-19 14:34:00
high,sala de estudio,E1007,10,False,plagio,2025-06-23 14:12:00
medium,aula,M601,6,False,plagio,2025-06-07 14:27:00
low,dirección general,,10,False,plagio,2025-02-01 14:25:00
low,auditorio,,-1,False,plagio,2025-05-26 19:01:00
low,aula magna,,-1,True,plagio,2025-08-21 05:39:00
low,patio,,-1,True,plagio,2025-08-10 10:23:00
low,almacén,,-1,True,robo,2025-04-03 18:03:00
low,listo,,1,False,plagio,2025-07-22 18:38:00
low,entrada,,1,False,plagio,2025-09-13 22:29:00
medium,counter admisión,,1,False,plagio,2025-07-03 17:08:00
high,dirección general,,10,False,plagio,2025-05-02 13:25:00
medium,aula,A601,6,False,plagio,2025-03-17 17:01:00
low,counter admisión,,1,False,comportamiento,2025-10-17 09:38:00
medium,oficina,P204,2,False,comportamiento,2025-06-04 23:51:00
high,laboratorio,L205,2,False,comportamiento,2025-04-03 11:42:00
low,sala de estudio,E807,8,False,plagio,2025-04-20 02:42:00
high,estacionamiento,,-1,False,plagio,2025-03-06 08:52:00
low,auditorio,,-1,False,plagio,2025-01-07 23:13:00
medium,almacén,,-1,True,plagio,2025-10-08 15:39:00
low,auditorio,,-1,False,comportamiento,2025-03-14 12:30:00
low,auditorio,,-1,False,plagio,2025-04-30 20:33:00
low,el café,,6,False,plagio,2025-09-16 13:14:00
low,entrada fase 2,,1,True,plagio,2025-10-22 13:26:00
low,laboratorio,L101,1,False,plagio,2025-01-11 11:51:00
medium,counter admisión,,1,False,plagio,2025-06-28 06:42:00
medium,laboratorio,L601,6,False,plagio,2025-02-22 12:09:00
medium,listo,,1,False,comportamiento,2025-03-27 09:54:00
medium,estacionamiento,,-1,False,plagio,2025-04-10 20:25:00
medium,entrada,,1,False,plagio,2025-07-17 08:40:00
low,counter alumnos,,1,False,agresión,2025-02-08 09:52:00
high,oficina,P502,5,False,plagio,2025-06-27 01:38:00
low,dirección general,,10,False,plagio,2025-07-12 00:01:00
low,laboratorio,L101,1,False,plagio,2025-03-31 16:45:00
medium,aula,A707,7,False,plagio,2025-02-14 04:10:00
low,counter alumnos,,1,False,agresión,2025-04-16 14:48:00
medium,laboratorio,L402,4,False,comportamiento,2025-05-10 00:28:00
low,counter alumnos,,1,False,plagio,2025-07-25 03:17:00
low,el café,,6,False,agresión,2025-05-08 18:47:00
medium,jardines,,6,False,comportamiento,2025-07-26 21:38:00
low,aula,A502,5,False,plagio,2025-07-12 00:18:00
medium,sala sum,,1,False,plagio,2025-05-27 22:03:00
low,el café,,6,False,plagio,2025-10-06 12:59:00
low,dirección general,,10,False,plagio,2025-05-30 12:12:00
low,counter alumnos,,1,False,plagio,2025-01-06 16:30:00
low,dirección general,,10,False,plagio,2025-09-07 18:18:00
low,listo,,1,False,discriminación,2025-01-02 04:41:00
medium,patio,,-1,True,comportamiento,2025-05-25 05:24:00
medium,estacionamiento,,-1,False,plagio,2025-08-11 13:20:00
low,el café,,6,False,plagio,2025-02-02 02:17:00
low,lia cook,,11,False,plagio,2025-03-24 23:28:00
low,sala sum,,1,False,plagio,2025-07-29 09:42:00
medium,lia cook,,11,False,plagio,2025-08-01 23:07:00
low,jardines,,6,False,plagio,2025-05-18 21:19:00
low,aula magna,,-1,True,plagio,2025-05-20 19:38:00
medium,laboratorio,L103,1,True,plagio,2025-03-30 01:00:00
medium,listo,,1,False,plagio,2025-09-02 10:46:00
low,oficina,P615,6,False,discriminación,2025-04-26 23:14:00
low,oficina,P303,3,False,plagio,2025-04-25 12:06:00
low,almacén,,-1,True,comportamiento,2025-02-26 12:11:00
medium,el café,,6,False,plagio,2025-07-23 13:48:00
medium,el café,,6,False,comportamiento,2025-07-14 23:19:00
medium,entrada,,1,False,plagio,2025-04-03 18:48:00
low,sala de estudio,E813,8,False,comportamiento,2025-03-31 06:24:00
high,jardines,,6,False,plagio,2025-10-11 15:31:00
medium,aula magna,,-1,True,comportamiento,2025-07-12 05:45:00
low,oficina,P203,2,False,plagio,2025-08-21 05:35:00
low,el café,,6,False,plagio,2025-06-23 06:30:00
low,estacionamiento,,-1,False,plagio,2025-04-01 23:23:00
medium,jardines,,6,False,comportamiento,2025-09-30 08:28:00
low,estacionamiento,,-1,False,plagio,2025-01-17 09:32:00
medium,sala sum,,1,False,agresión,2025-05-27 23:31:00
medium,oficina,P506,5,False,plagio,2025-05-22 14:37:00
low,oficina,P206,2,False,plagio,2025-05-08 04:20:00
low,lia cook,,11,False,plagio,2025-05-15 08:50:00
medium,aula magna,,-1,True,discriminación,2025-09-28 22:04:00
low,aula,A706,7,False,plagio,2025-07-07 08:57:00
high,patio,,-1,True,plagio,2025-04-01 05:57:00
low,counter admisión,,1,False,plagio,2025-04-06 03:00:00
low,sala sum,,1,False,agresión,2025-06-04 19:49:00
low,counter admisión,,1,False,plagio,2025-06-15 22:37:00
high,counter alumnos,,1,False,comportamiento,2025-02-13 10:41:00
medium,el café,,6,False,plagio,2025-01-13 03:58:00
low,dirección general,,10,False,plagio,2025-07-31 03:19:00
low,counter admisión,,1,False,plagio,2025-06-13 19:07:00
low,lia cook,,11,False,plagio,2025-04-10 19:28:00
medium,jardines,,6,False,plagio,2025-05-31 05:46:00
low,aula magna,,-1,True,comportamiento,2025-04-02 00:42:00
low,almacén,,-1,True,plagio,2025-07-12 04:53:00
low,laboratorio,L407,4,False,plagio,2025-01-08 02:57:00
low,sala de estudio,E1009,10,False,agresión,2025-02-10 12:11:00
medium,jardines,,6,False,plagio,2025-05-19 00:08:00
medium,laboratorio,L105,1,True,comportamiento,2025-04-24 02:23:00
medium,el café,,6,False,plagio,2025-04-27 10:42:00
low,dirección general,,10,False,plagio,2025-04-05 04:02:00
low,entrada,,1,False,plagio,2025-09-14 07:30:00
low,counter alumnos,,1,False,plagio,2025-09-09 09:33:00
low,patio,,-1,True,plagio,2025-01-22 08:30:00
low,auditorio,,-1,False,plagio,2025-04-24 16:01:00
low,counter alumnos,,1,False,plagio,2025-10-22 11:55:00
low,lia cook,,11,False,comportamiento,2025-07-04 11:53:00
low,patio,,-1,True,agresión,2025-03-19 20:06:00
high,comedor,,1,True,plagio,2025-01-29 16:36:00
medium,jardines,,6,False,plagio,2025-09-11 11:20:00
low,laboratorio,L504,5,False,comportamiento,2025-01-18 20:18:00
low,almacén,,-1,True,comportamiento,2025-02-13 04:32:00
high,laboratorio,L208,2,True,plagio,2025-06-11 08:38:00
low,el café,,6,False,comportamiento,2025-04-15 20:37:00
low,lia cook,,11,False,plagio,2025-08-11 18:51:00
low,lia cook,,11,False,plagio,2025-05-31 16:54:00
low,auditorio,,-1,False,comportamiento,2025-02-17 12:46:00
low,el café,,6,False,plagio,2025-05-25 08:50:00
medium,sala de estudio,E1009,10,False,discriminación,2025-07-13 16:41:00
low,el café,,6,False,plagio,2025-03-10 10:35:00
low,oficina,P601,6,False,plagio,2025-03-29 12:50:00
medium,sala de estudio,E1001,10,False,plagio,2025-07-26 21:14:00
medium,auditorio,,-1,False,plagio,2025-10-23 03:09:00
low,auditorio,,-1,False,plagio,2025-04-01 06:10:00
medium,listo,,1,False,comportamiento,2025-03-08 19:18:00
low,sala de estudio,E812,8,False,comportamiento,2025-02-16 08:16:00
medium,entrada,,1,False,plagio,2025-08-30 18:26:00
low,patio,,-1,True,comportamiento,2025-08-18 06:22:00
medium,counter admisión,,1,False,plagio,2025-06-02 01:36:00
high,aula magna,,-1,True,plagio,2025-07-25 21:26:00
high,entrada fase 2,,1,True,plagio,2025-07-12 17:46:00
medium,listo,,1,False,comportamiento,2025-01-27 03:23:00
low,entrada,,1,False,plagio,2025-04-20 01:33:00
medium,estacionamiento,,-1,False,agresión,2025-09-14 17:06:00
medium,patio,,-1,True,plagio,2025-05-01 23:35:00
low,oficina,P324,3,True,plagio,2025-05-16 03:02:00
high,entrada fase 2,,1,True,comportamiento,2025-01-17 06:22:00
medium,counter alumnos,,1,False,plagio,2025-10-06 10:18:00
low,almacén,,-1,True,plagio,2025-07-19 22:01:00
low,dirección general,,10,False,discriminación,2025-06-21 04:38:00
low,entrada,,1,False,agresión,2025-03-06 18:16:00
medium,aula magna,,-1,True,comportamiento,2025-06-02 01:07:00
medium,comedor,,1,True,comportamiento,2025-05-26 05:55:00
low,sala de estudio,E1001,10,False,comportamiento,2025-03-13 22:55:00
low,oficina,P306,3,False,plagio,2025-07-06 14:16:00
low,estacionamiento,,-1,False,plagio,2025-09-27 07:25:00
low,el café,,6,False,plagio,2025-08-10 17:30:00
high,counter admisión,,1,False,plagio,2025-08-18 14:34:00
low,dirección general,,10,False,plagio,2025-08-06 04:36:00
low,entrada fase 2,,1,True,comportamiento,2025-07-03 01:26:00
low,aula,M604,6,False,agresión,2025-04-14 14:10:00
low,sala de estudio,E811,8,False,comportamiento,2025-06-12 03:52:00
high,sala sum,,1,False,plagio,2025-03-07 03:50:00
medium,patio,,-1,True,plagio,2025-02-09 20:10:00
medium,counter admisión,,1,False,plagio,2025-06-19 23:32:00
medium,listo,,1,False,plagio,2025-09-21 20:12:00
low,el café,,6,False,plagio,2025-08-02 20:28:00
low,sala de estudio,E801,8,False,plagio,2025-04-08 01:27:00
high,el café,,6,False,plagio,2025-05-16 16:48:00
low,auditorio,,-1,False,comportamiento,2025-05-08 21:44:00
low,counter admisión,,1,False,comportamiento,2025-01-02 11:09:00
low,oficina,P326,3,True,plagio,2025-09-29 11:27:00
low,jardines,,6,False,plagio,2025-08-01 18:33:00
low,counter alumnos,,1,False,comportamiento,2025-09-20 11:11:00
medium,el café,,6,False,comportamiento,2025-03-20 21:30:00
medium,aula,A102,1,False,plagio,2025-06-16 17:00:00
medium,counter alumnos,,1,False,comportamiento,2025-02-20 10:19:00
medium,counter alumnos,,1,False,plagio,2025-08-19 14:45:00
high,listo,,1,False,plagio,2025-02-28 02:24:00
low,aula,A202,2,False,plagio,2025-08-30 08:17:00
low,almacén,,-1,True,plagio,2025-03-07 10:13:00
low,entrada,,1,False,plagio,2025-05-06 21:06:00
low,jardines,,6,False,plagio,2025-09-21 07:56:00
medium,jardines,,6,False,plagio,2025-10-04 04:47:00
low,counter admisión,,1,False,plagio,2025-02-15 06:08:00
low,patio,,-1,True,plagio,2025-08-13 01:46:00
high,sala sum,,1,False,agresión,2025-10-13 00:07:00
low,entrada,,1,False,plagio,2025-09-03 23:51:00
low,comedor,,1,True,plagio,2025-05-01 08:26:00
low,comedor,,1,True,plagio,2025-10-19 00:13:00
low,counter alumnos,,1,False,comportamiento,2025-02-09 09:12:00
low,counter admisión,,1,False,robo,2025-07-09 00:57:00
low,estacionamiento,,-1,False,plagio,2025-01-18 02:41:00
medium,aula magna,,-1,True,plagio,2025-04-03 04:07:00
low,jardines,,6,False,plagio,2025-02-11 11:28:00
low,el café,,6,False,plagio,2025-05-17 18:12:00
medium,entrada fase 2,,1,True,plagio,2025-02-26 21:14:00
medium,counter admisión,,1,False,plagio,2025-01-11 18:03:00
high,patio,,-1,True,plagio,2025-05-24 02:28:00
low,counter admisión,,1,False,plagio,2025-08-18 06:04:00
low,listo,,1,False,discriminación,2025-04-27 01:22:00
low,laboratorio,L413,4,False,plagio,2025-06-08 13:44:00
medium,counter admisión,,1,False,agresión,2025-06-28 01:53:00
low,el café,,6,False,plagio,2025-05-18 06:35:00
low,laboratorio,L409,4,False,plagio,2025-10-21 21:25:00
low,estacionamiento,,-1,False,plagio,2025-10-17 09:37:00
low,aula,A101,1,False,plagio,2025-03-21 03:48:00
low,comedor,,1,True,plagio,2025-07-26 10:29:00
low,auditorio,,-1,False,comportamiento,2025-09-03 13:07:00
high,oficina,P202,2,False,discriminación,2025-02-06 14:59:00
low,dirección general,,10,False,plagio,2025-09-18 19:37:00
low,laboratorio,L104,1,True,plagio,2025-03-29 18:08:00
low,almacén,,-1,True,comportamiento,2025-07-01 20:55:00
low,counter admisión,,1,False,plagio,2025-07-28 12:16:00
low,entrada,,1,False,agresión,2025-03-11 06:11:00
low,entrada,,1,False,plagio,2025-08-22 22:44:00
medium,entrada,,1,False,plagio,2025-03-01 05:50:00
medium,estacionamiento,,-1,False,plagio,2025-05-03 03:25:00
low,entrada fase 2,,1,True,plagio,2025-05-26 12:56:00
medium,dirección general,,10,False,plagio,2025-08-03 03:16:00
medium,auditorio,,-1,False,plagio,2025-05-29 00:18:00
low,counter alumnos,,1,False,plagio,2025-09-14 18:56:00
low,dirección general,,10,False,plagio,2025-03-01 05:28:00
low,estacionamiento,,-1,False,plagio,2025-08-05 01:52:00
medium,el café,,6,False,plagio,2025-10-04 06:38:00
low,entrada,,1,False,plagio,2025-03-22 20:08:00
medium,laboratorio,L506,5,False,plagio,2025-04-21 15:05:00
low,listo,,1,False,plagio,2025-05-19 02:48:00
medium,aula magna,,-1,True,plagio,2025-04-20 15:11:00
medium,lia cook,,11,False,comportamiento,2025-01-13 00:01:00
low,estacionamiento,,-1,False,plagio,2025-03-15 07:30:00
low,laboratorio,L205,2,False,plagio,2025-09-10 11:28:00
low,dirección general,,10,False,plagio,2025-10-26 16:05:00
low,jardines,,6,False,plagio,2025-04-09 10:40:00
low,comedor,,1,True,plagio,2025-07-07 10:19:00
low,dirección general,,10,False,plagio,2025-05-16 14:02:00
low,lia cook,,11,False,plagio,2025-10-01 02:22:00
medium,dirección general,,10,False,plagio,2025-08-19 13:49:00
medium,lia cook,,11,False,plagio,2025-07-25 01:30:00
high,counter admisión,,1,False,plagio,2025-01-18 18:52:00
low,aula,A201,2,False,plagio,2025-08-02 08:52:00
medium,comedor,,1,True,plagio,2025-08-16 19:55:00
low,counter admisión,,1,False,plagio,2025-06-24 21:03:00
high,comedor,,1,True,plagio,2025-09-23 16:35:00
low,counter alumnos,,1,False,plagio,2025-09-17 00:32:00
medium,patio,,-1,True,plagio,2025-02-07 07:06:00
low,patio,,-1,True,comportamiento,2025-05-30 02:10:00
high,el café,,6,False,comportamiento,2025-04-11 03:59:00
medium,oficina,P316,3,False,plagio,2025-02-15 23:02:00
low,estacionamiento,,-1,False,plagio,2025-05-22 07:24:00
medium,patio,,-1,True,plagio,2025-09-06 21:15:00
low,entrada,,1,False,agresión,2025-01-05 08:40:00
medium,auditorio,,-1,False,plagio,2025-01-22 20:56:00
low,patio,,-1,True,plagio,2025-01-16 13:44:00
low,counter admisión,,1,False,plagio,2025-03-17 17:20:00
medium,auditorio,,-1,False,plagio,2025-09-01 21:35:00
low,estacionamiento,,-1,False,plagio,2025-04-23 14:57:00
low,oficina,P501,5,False,comportamiento,2025-07-30 12:28:00
low,aula magna,,-1,True,plagio,2025-01-04 07:47:00
medium,aula magna,,-1,True,comportamiento,2025-08-28 11:03:00
low,comedor,,1,True,plagio,2025-06-12 09:21:00
medium,counter admisión,,1,False,plagio,2025-09-18 17:02:00
medium,auditorio,,-1,False,plagio,2025-01-29 20:15:00
low,counter alumnos,,1,False,comportamiento,2025-09-27 07:22:00
medium,dirección general,,10,False,plagio,2025-01-29 01:12:00
medium,laboratorio,L207,2,True,plagio,2025-03-24 10:23:00
low,comedor,,1,True,plagio,2025-10-11 16:36:00
low,patio,,-1,True,plagio,2025-07-17 03:26:00
medium,sala de estudio,E1009,10,False,comportamiento,2025-08-30 01:02:00
low,aula magna,,-1,True,plagio,2025-01-11 20:07:00
medium,aula magna,,-1,True,plagio,2025-02-16 15:04:00
low,counter alumnos,,1,False,agresión,2025-09-11 09:41:00
low,aula,A705,7,False,plagio,2025-02-28 23:54:00
medium,sala de estudio,E806,8,False,plagio,2025-02-04 01:26:00
medium,jardines,,6,False,agresión,2025-01-06 02:26:00
low,sala sum,,1,False,plagio,2025-10-18 22:32:00
low,listo,,1,False,plagio,2025-04-09 18:39:00
low,sala sum,,1,False,robo,2025-03-09 04:21:00
medium,counter alumnos,,1,False,plagio,2025-07-13 09:00:00
low,lia cook,,11,False,plagio,2025-06-30 02:00:00
medium,sala de estudio,E807,8,False,plagio,2025-05-14 08:33:00
low,lia cook,,11,False,agresión,2025-09-15 16:55:00
low,entrada fase 2,,1,True,plagio,2025-10-27 05:17:00
low,oficina,P513,5,False,plagio,2025-08-10 20:30:00
medium,el café,,6,False,plagio,2025-05-08 09:59:00
low,oficina,P203,2,False,comportamiento,2025-02-19 05:58:00
high,auditorio,,-1,False,plagio,2025-09-01 00:46:00
high,lia cook,,11,False,plagio,2025-03-30 20:10:00
medium,entrada,,1,False,comportamiento,2025-08-11 19:01:00
low,counter alumnos,,1,False,plagio,2025-08-19 01:09:00
low,comedor,,1,True,agresión,2025-08-27 04:37:00
low,oficina,P620,6,False,plagio,2025-04-03 03:00:00
medium,comedor,,1,True,agresión,2025-09-11 22:19:00
high,aula magna,,-1,True,plagio,2025-04-06 18:02:00
low,lia cook,,11,False,comportamiento,2025-05-05 17:35:00
low,lia cook,,11,False,plagio,2025-09-29 01:44:00
high,counter alumnos,,1,False,plagio,2025-08-21 06:10:00
low,lia cook,,11,False,plagio,2025-04-28 09:06:00
medium,counter admisión,,1,False,plagio,2025-01-04 17:49:00
low,jardines,,6,False,plagio,2025-05-19 07:34:00
high,dirección general,,10,False,plagio,2025-10-10 21:27:00
low,dirección general,,10,False,plagio,2025-01-21 22:36:00
low,laboratorio,L212,2,True,plagio,2025-05-22 23:22:00
medium,jardines,,6,False,plagio,2025-07-29 07:25:00
low,entrada fase 2,,1,True,agresión,2025-06-13 11:25:00
low,counter alumnos,,1,False,plagio,2025-01-28 01:50:00
low,counter alumnos,,1,False,plagio,2025-08-16 07:51:00
low,laboratorio,L105,1,True,agresión,2025-06-16 21:39:00
medium,oficina,P620,6,False,comportamiento,2025-07-09 22:54:00
low,el café,,6,False,plagio,2025-01-14 18:58:00
low,aula magna,,-1,True,robo,2025-01-31 17:29:00
low,sala de estudio,E803,8,False,plagio,2025-01-19 08:33:00
high,lia cook,,11,False,plagio,2025-02-08 23:07:00
high,dirección general,,10,False,plagio,2025-09-23 23:07:00
high,estacionamiento,,-1,False,comportamiento,2025-01-14 09:51:00
medium,entrada,,1,False,plagio,2025-09-18 21:54:00
low,lia cook,,11,False,comportamiento,2025-04-23 16:21:00
low,entrada fase 2,,1,True,plagio,2025-03-13 22:19:00
medium,jardines,,6,False,agresión,2025-02-03 05:44:00
high,el café,,6,False,plagio,2025-03-07 19:49:00
low,entrada,,1,False,agresión,2025-07-13 00:00:00
medium,entrada fase 2,,1,True,plagio,2025-09-15 20:20:00
low,listo,,1,False,plagio,2025-04-16 19:58:00
low,oficina,P601,6,False,plagio,2025-08-13 06:12:00
low,auditorio,,-1,False,plagio,2025-07-11 00:28:00
medium,patio,,-1,True,comportamiento,2025-05-19 13:31:00
medium,laboratorio,L601,6,False,plagio,2025-10-15 10:14:00
medium,entrada fase 2,,1,True,plagio,2025-03-28 15:36:00
low,laboratorio,L411,4,False,plagio,2025-09-21 15:39:00
high,lia cook,,11,False,comportamiento,2025-02-28 10:02:00
medium,aula,M804,8,False,plagio,2025-04-10 17:56:00
low,counter alumnos,,1,False,plagio,2025-04-09 15:21:00
high,sala sum,,1,False,plagio,2025-07-11 01:53:00
low,entrada,,1,False,comportamiento,2025-06-28 12:45:00
low,dirección general,,10,False,plagio,2025-08-17 05:38:00
high,entrada fase 2,,1,True,plagio,2025-02-02 04:06:00
high,el café,,6,False,comportamiento,2025-05-06 00:07:00
medium,oficina,P510,5,False,plagio,2025-04-07 12:29:00
medium,comedor,,1,True,agresión,2025-02-25 22:30:00
high,entrada fase 2,,1,True,plagio,2025-08-28 02:49:00
low,lia cook,,11,False,plagio,2025-08-02 01:06:00
low,dirección general,,10,False,plagio,2025-07-28 05:48:00
low,estacionamiento,,-1,False,plagio,2025-04-08 19:49:00
low,aula magna,,-1,True,comportamiento,2025-02-23 03:25:00
medium,entrada fase 2,,1,True,plagio,2025-09-19 02:54:00
low,aula,A706,7,False,plagio,2025-03-23 04:57:00
low,counter admisión,,1,False,plagio,2025-05-26 17:44:00
low,dirección general,,10,False,plagio,2025-10-14 10:36:00
low,listo,,1,False,plagio,2025-07-09 20:23:00
low,listo,,1,False,agresión,2025-05-11 23:56:00
